timestamp,charge amount,charge currency,canister,cycles topped up
2025-11-27T08:00:15.759Z,5.0935245,ICP,3bohd-2yaaa-aaaac-qcyla-cai,15000000000000
2025-11-27T08:00:15.759Z,3.395683,ICP,2zaor-5yaaa-aaaac-qbxaa-cai,10000000000000
2025-11-27T07:23:43.647Z,0.3395683,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,1000000000000
2025-11-23T07:30:15.730Z,0.8222044,ICP,rhw4p-gqaaa-aaaac-qbw7q-cai,2518489294333
2025-11-18T13:00:17.510Z,0.80532195,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3000000000000
2025-11-10T20:30:16.231Z,0.65267084,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3050354407470
2025-11-07T08:00:15.950Z,0.71980281,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3000000000000
2025-11-06T18:00:15.779Z,0.21531216,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,678863341113
2025-11-01T09:30:15.859Z,1.41482583,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3000000000000
2025-10-30T07:31:03.744Z,1,ICP,rhw4p-gqaaa-aaaac-qbw7q-cai,2190001604614
2025-10-30T07:30:16.105Z,1.36986201,ICP,rhw4p-gqaaa-aaaac-qbw7q-cai,3000000000000
2025-10-23T10:00:16.772Z,1.13801183,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,2455788243508
2025-10-09T20:00:15.896Z,0.96064188,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3000000000000
2025-08-17T08:00:16.020Z,0.77514303,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3000000000000
2025-08-05T19:30:16.528Z,0.82648296,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3000000000000
2025-07-19T07:30:15.987Z,0.77983218,ICP,aual3-ayaaa-aaaao-a4kuq-cai,3000000000000
2025-07-19T07:24:40.454Z,0.51988812,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,2000000000000
2025-06-19T09:00:15.848Z,0.11163432,ICP,aual3-ayaaa-aaaao-a4kuq-cai,415287973003
2025-06-16T13:00:14.640Z,0.77771955,ICP,aual3-ayaaa-aaaao-a4kuq-cai,3000000000000
2025-06-13T17:30:15.908Z,0.77102196,ICP,aual3-ayaaa-aaaao-a4kuq-cai,3000000000000
2025-06-12T17:00:16.102Z,0.77720007,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3000000000000
2025-06-03T06:37:17.312Z,0.28121205,ICP,gzya5-jyaaa-aaaac-qai5a-cai,1000000000000
2025-06-03T06:37:17.312Z,0.28121205,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,1000000000000
2025-05-24T10:31:08.350Z,0.26305644,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,1000000000000
2025-05-24T10:30:16.378Z,0.73694356,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,2801465571418
2025-05-14T06:05:13.713Z,4.9997,ICP,aual3-ayaaa-aaaao-a4kuq-cai,19374196818697
2025-05-14T06:02:49.828Z,1,ICP,aual3-ayaaa-aaaao-a4kuq-cai,3875071868051
2025-05-14T06:00:44.089Z,1,ICP,aual3-ayaaa-aaaao-a4kuq-cai,3875071868051
2025-05-14T05:49:36.435Z,1,ICP,aual3-ayaaa-aaaao-a4kuq-cai,3875071868051
2025-05-11T15:17:28.913Z,2,ICP,wxfhb-tqaaa-aaaah-aq2qq-cai,7328858332435
2025-05-06T05:30:15.683Z,0.359506,ICP,wxfhb-tqaaa-aaaah-aq2qq-cai,1221160541717
2025-05-06T05:22:07.717Z,0.588794,ICP,guja4-2aaaa-aaaam-qdhjq-cai,2000000000000
2025-04-25T14:00:06.675Z,0.1394602,ICP,wxfhb-tqaaa-aaaah-aq2qq-cai,486183904567
2025-04-24T11:30:06.471Z,0.5736932,ICP,wxfhb-tqaaa-aaaah-aq2qq-cai,2000000000000
2025-04-24T11:27:07.158Z,0.2868466,ICP,guja4-2aaaa-aaaam-qdhjq-cai,1000000000000
2025-04-17T01:00:21.455Z,0.16017879,ICP,wxfhb-tqaaa-aaaah-aq2qq-cai,556034546050
2025-04-16T11:12:40.411Z,0.28807345,ICP,guja4-2aaaa-aaaam-qdhjq-cai,1000000000000
2025-04-14T22:00:06.363Z,0.56849132,ICP,wxfhb-tqaaa-aaaah-aq2qq-cai,2000000000000
2025-04-05T15:40:49.864Z,0.2659777,ICP,guja4-2aaaa-aaaam-qdhjq-cai,1000000000000
2025-04-05T08:13:06.260Z,0.26444514,ICP,guja4-2aaaa-aaaam-qdhjq-cai,1000000000000
2025-04-03T11:09:43.851Z,0.51027578,ICP,guja4-2aaaa-aaaam-qdhjq-cai,2000000000000
2025-03-31T06:00:38.716Z,0.4809832,ICP,guja4-2aaaa-aaaam-qdhjq-cai,2000000000000
2025-03-28T06:29:27.658Z,0.23078731,ICP,guja4-2aaaa-aaaam-qdhjq-cai,1000000000000
